Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value
ENSG00000238009,AL627309.1,0.016936825831591232,0.5031467782273005,0.46580864724298876,0.01426208099848074,0.12092789294691819,1.0,0.009463826820877569,-0.002869174823190157,1.0,0.018450351430746095,0.6513716169724892,1.0,0.005999776563024966,-0.8924131818271368,0.8986044770107295,0.008453431986419548,-0.3546766884594108,1.0,0.012135321492788915,-0.036033168372605395,1.0,0.0,0.7870371536645706,1.0,0.016111187998113827,0.7851527422155771,1.0
ENSG00000241860,AL627309.5,0.0005463492203739108,0.8606987828453843,1.0,0.0,0.14740010430810813,1.0,0.0,2.956488840679463,1.0,0.003075058571791016,3.888410814273339,1.0,0.0,1.6311487742298763,1.0,0.0,2.1688852675976005,1.0,0.0,1.401372143934692,1.0,0.0,5.371999654385728,1.0,0.0,3.7445107577182304,1.0
ENSG00000286448,AP006222.2,0.0010926984407478215,-0.3616936384910634,0.9239540786412594,0.0008389459410871024,-0.2676373949707358,0.9538856208203562,0.0,1.371526339958307,1.0,0.003075058571791016,1.888410814273339,1.0,0.001999925521008322,1.2161112749510323,1.0,0.0,0.5839227668764444,1.0,0.005200852068338107,2.401372143934692,0.2772435204642466,0.0,3.7870371536645715,1.0,0.0,2.1595482569970743,1.0
ENSG00000229905,AL669831.2,0.0,-1.1393012171546157,1.0,0.0,-0.2676373949707358,1.0,0.0,2.5414513414006192,1.0,0.0,1.888410814273339,1.0,0.001999925521008322,2.6311487742298763,0.891667638015573,0.0,1.7538477683187566,1.0,0.0017336173561127023,2.401372143934692,0.6012151213141274,0.024890087238853168,6.371999654385728,1.0,0.0,3.3294732584393882,1.0
ENSG00000237491,LINC01409,0.03114190556131291,0.17952096686492425,0.8114552713639968,0.02852416199696148,0.00366462684665958,1.0,0.009463826820877569,-1.083039523507174,1.0,0.018450351430746095,-0.4741592651113695,1.0,0.029998882815124833,0.13929567790020148,1.0,0.02817810662139849,0.08399637001108928,1.0,0.03640596447836675,0.4345390078698923,0.7340454067305169,0.024890087238853168,0.7377936346447216,1.0,0.024166781997170744,0.12980091360302293,1.0
ENSG00000228794,LINC01128,0.0666546048856171,0.3356077381016265,0.39872826895295055,0.04362518893652932,-0.488084171992214,0.34941335202978285,0.04258722069394906,-0.31652965372695174,1.0,0.055351054292238286,0.0019120074959984024,1.0,0.05799784010924134,0.04618627350872018,1.0,0.08735213052633532,0.6877585778609854,0.3170118437415755,0.045074051258930256,-0.35153499410053524,0.8327430418854371,0.024890087238853168,-0.2622063653552784,1.0,0.08055593999056915,0.6139791945760051,1.0
ENSG00000225880,LINC00115,0.017483175051965144,-0.025644435359049034,1.0,0.023490486350438867,0.5679757871283826,0.5569413903164578,0.0047319134104387844,-0.9821106146563929,1.0,0.009225175715373048,-0.6034422820563368,1.0,0.009999627605041611,-0.6583578429651089,1.0,0.022542485297118792,0.5143818336233688,0.8466547904096234,0.020803408273352426,0.3469243599123164,0.9476174621695186,0.024890087238853168,1.4334001990498697,1.0,0.016111187998113827,0.40664111896184707,1.0
ENSG00000230368,FAM41C,0.008741587525982572,-0.2217633773465888,0.8962510176517786,0.009228405351958126,-0.04022689886766351,1.0,0.0047319134104387844,-0.13097400057087594,1.0,0.01537529285895508,0.9187844633168574,1.0,0.013999478647058255,0.7242581786213576,1.0,0.008453431986419548,0.13913792420354998,1.0,0.012135321492788915,0.4944815483261742,0.9125791776862917,0.024890087238853168,2.2845368131353876,1.0,0.0,-0.3709664597017044,1.0
ENSG00000230699,AL645608.2,0.0,-0.7242637178757718,0.7911698842387512,0.0,0.14740010430810813,1.0,0.0,2.956488840679463,1.0,0.0,2.303448313552183,1.0,0.0,1.6311487742298763,1.0,0.0,2.1688852675976005,1.0,0.0034672347122254045,4.571297145377004,0.11383575727452964,0.0,5.371999654385728,1.0,0.0,3.7445107577182304,1.0
ENSG00000241180,AL645608.4,0.0,-0.13930121715461574,1.0,0.0008389459410871024,2.732362605029264,0.5194877528307121,0.0,3.5414513414006192,1.0,0.0,2.888410814273339,1.0,0.0,2.2161112749510323,1.0,0.0,2.7538477683187566,1.0,0.0,1.986334644655848,1.0,0.0,5.956962155106884,1.0,0.0,4.329473258439388,1.0
ENSG00000223764,LINC02593,0.11418698705814734,1.3557757800493446,3.2829556983914714e-07,0.03355783764348409,-1.2229683456370073,0.0024161377025956076,0.023659567052193922,-1.3371105311494045,1.0,0.049200937148656254,-0.44197885936221937,1.0,0.05599791458823302,-0.2922299441672114,1.0,0.04790278125637743,-0.48985515926310175,0.792701530639131,0.053742138039493764,-0.366812180842234,0.8069830821381665,0.0746702617165595,0.4852869407148388,1.0,0.06444475199245531,0.04818714804937052,1.0
ENSG00000187634,SAMD11,0.49663144131988485,2.3328695133133595,4.053698597634956e-30,0.048658864583051936,-2.588342348588657,1.822163839436774e-16,0.1798127095966738,-0.4007623831513554,1.0,0.07380140572298438,-1.7120968310724467,0.2835515206534991,0.14799448855461583,-0.7387054160263049,0.5311338813934322,0.1437083437691323,-0.7576008080861536,0.34045824806419334,0.09014810251786051,-1.4964162445665736,0.0021360418654159333,0.149340523433119,-0.5012979693199702,1.0,0.19333425597736595,-0.2710343869063987,1.0
ENSG00000188976,NOC2L,0.7244590662158056,0.5702041536676061,0.012071081637300118,0.44380240283507716,-0.45858017768213055,0.18984961831426062,0.6009530031257256,0.07894906880335573,1.0,0.4243580829071602,-0.4495158513834969,1.0,0.5239804865041804,-0.13675034176983114,1.0,0.5184771618337322,-0.14783453628699939,1.0,0.5304869109704868,-0.11953121961554158,1.0,0.597362093732476,0.08659743552347843,1.0,0.4188908879509595,-0.44295025626781726,1.0
ENSG00000187961,KLHL17,0.15953397234918193,0.5162968261596004,0.05756619431829219,0.08808932381414575,-0.6664214132507258,0.06922689823771411,0.1277616620818472,0.03365670120192332,1.0,0.06765128857940235,-0.914456716791952,1.0,0.13399500990755758,0.08198699493656703,1.0,0.15779739707983154,0.33881026903991396,0.6917736106848098,0.13695577113290347,0.11596992507244464,1.0,0.12445043619426584,0.17779000081998753,1.0,0.08055593999056915,-0.5642419484213987,1.0
ENSG00000187583,PLEKHN1,0.05845936658000844,1.4257617261288358,5.676593214747708e-06,0.019295756645003354,-0.9772956431412068,0.05215085475712715,0.02839148046263271,-0.09413723239050498,1.0,0.027675527146119143,-0.20751360572519673,1.0,0.019999255210083222,-0.7338480425493721,0.8558192756592187,0.02817810662139849,-0.19611154918164608,1.0,0.01560255620501432,-1.1095897753426867,0.20104776591915158,0.024890087238853168,0.47314637784262636,1.0,0.032222375996227653,0.19196973468945178,1.0
