Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value,Cluster 10 Mean Counts,Cluster 10 Log2 fold change,Cluster 10 Adjusted p value
ENSG00000238009,AL627309.1,0.017228707600269642,0.4914657620939069,0.5966180869939834,0.013864726197069513,0.06770908229772576,1.0,0.0,-1.1714379479125014,1.0,0.015819497748644853,0.3679911602442578,1.0,0.006997990221075681,-0.6489269286313339,0.7776469012218188,0.017758641058838003,0.5926224383128034,1.0,0.014436793513480331,0.27117974161275615,1.0,0.009009312109523871,-0.43232005510595073,0.882274536125881,0.016172746663294744,0.7907460007067755,1.0,0.0,2.272777809267191,1.0
ENSG00000241860,AL627309.5,0.0007178628166779017,1.4325720730403386,0.7808272260322282,0.0,0.09418129365891659,1.0,0.0,3.4135245528086546,1.0,0.0,1.6131036580807905,1.0,0.0,1.8746350274256773,1.0,0.0029597735098063336,3.8296616356136512,1.0,0.0,1.923256438192448,1.0,0.0,1.4638441339095092,1.0,0.0,3.7501040162094297,1.0,0.0,6.857740309988346,1.0
ENSG00000286448,AP006222.2,0.0014357256333558035,0.21017965170389097,1.0,0.0008155721292393832,-0.32085620561992734,0.9487343123311123,0.0,1.8285620520874986,1.0,0.0,0.028141157359634406,1.0,0.0,0.28967252670452126,1.0,0.0029597735098063336,1.8296616356136512,1.0,0.002406132252246722,1.508218938913605,1.0,0.005405587265714323,2.463844133909509,0.26842918005016975,0.0,2.1651415154882736,1.0,0.0,5.27277780926719,1.0
ENSG00000229905,AL669831.2,0.0,-0.5674279269596614,1.0,0.0,-0.32085620561992734,1.0,0.0,2.9984870535298107,1.0,0.0019774372185806066,2.6131036580807896,0.8326425109716322,0.0,1.4595975281468334,1.0,0.0,1.8296616356136521,1.0,0.0,1.508218938913604,1.0,0.0018018624219047743,2.463844133909509,0.5957807633316786,0.0,3.3350665169305858,1.0,0.07257624967334901,7.857740309988346,1.0
ENSG00000237491,LINC01409,0.027278787033760264,-0.0893806301550173,1.0,0.02854502452337841,0.0035787448780100206,1.0,0.00643384664669541,-1.2206814669323505,1.0,0.04548105602735395,0.7943439727509363,0.5520038442294722,0.02332663407025227,-0.21025387016083386,1.0,0.017758641058838003,-0.5329084437710554,1.0,0.02646745477471394,-0.025759633088745737,1.0,0.03783911086000026,0.4970109978447086,0.6774234264282603,0.024259119994942117,0.13539417209422133,1.0,0.07257624967334901,2.223534290247341,1.0
ENSG00000228794,LINC01128,0.06676124195104487,0.3006603975347568,0.5783359700530073,0.0432253228496873,-0.5084832087956985,0.31190820238317746,0.0643384664669541,0.2829929896664303,1.0,0.06723286543174063,0.2775006262963502,1.0,0.07464522902480726,0.44329571581773486,0.591956091927422,0.05919547019612667,0.09785774656322488,1.0,0.045716512792687715,-0.2991359831439997,1.0,0.046848422969524135,-0.28906300412571895,0.9021876879224391,0.08086373331647373,0.6195724530672049,1.0,0.07257624967334901,1.2235342902473412,1.0
ENSG00000225880,LINC00115,0.019382296050303345,0.19553287573948896,0.9527922432399172,0.02365159174794211,0.5860343899885905,0.5302736060970255,0.00643384664669541,-0.5250749025272023,1.0,0.009887186092903033,-0.6764029591141956,1.0,0.018661307256201815,0.22013159345144562,1.0,0.008879320529419001,-0.6621914607160226,1.0,0.009624529008986887,-0.6455863971654301,1.0,0.01982048664095252,0.27621713073373755,1.0,0.024259119994942117,0.843213420600911,1.0,0.07257624967334901,2.91914085465249,1.0
ENSG00000230368,FAM41C,0.00789649098345692,-0.34001743085659,0.7858694900895931,0.008971293421633214,-0.09344570951685505,1.0,0.01286769329339082,0.9395933644762433,1.0,0.009887186092903033,0.22843980784546503,1.0,0.011663317035126136,0.48997117719035366,0.9688526536931221,0.017758641058838003,1.1134546016142437,1.0,0.009624529008986887,0.24518453307981058,1.0,0.01261303695333342,0.5569535383009905,0.9126416505418631,0.0,-0.365373201210506,1.0,0.0,2.7422630925684106,1.0
ENSG00000230699,AL645608.2,0.0,-0.15239042768081745,1.0,0.0,0.09418129365891659,1.0,0.0,3.4135245528086546,1.0,0.0,1.6131036580807905,1.0,0.0,1.8746350274256773,1.0,0.0,2.244699134892496,1.0,0.0,1.923256438192448,1.0,0.0036037248438095487,4.633769135351821,0.11076509563893824,0.0,3.7501040162094297,1.0,0.0,6.857740309988346,1.0
ENSG00000241180,AL645608.4,0.0,0.4325720730403386,1.0,0.0008155721292393832,2.6791437943800727,0.5302736060970255,0.0,3.9984870535298107,1.0,0.0,2.1980661588019466,1.0,0.0,2.4595975281468334,1.0,0.0,2.829661635613652,1.0,0.0,2.508218938913604,1.0,0.0,2.0488066346306653,1.0,0.0,4.335066516930586,1.0,0.0,7.442702810709502,1.0
ENSG00000223764,LINC02593,0.12275454165192119,1.3119423678547992,3.932316961303368e-06,0.03343845729881471,-1.2368778129805746,0.0018113785147860354,0.01930153994008623,-1.4731881608622337,1.0,0.08502980039896608,0.35828975905196403,0.9715310912701096,0.053651258361580224,-0.3434572564771434,0.8819709710255372,0.04143682913728867,-0.6897125234799275,1.0,0.0553410418016746,-0.29483584571037325,1.0,0.05045214781333368,-0.45953458448757845,0.7181400972328238,0.07277735998482636,0.20991138560829636,1.0,0.14515249934669802,1.5519318804642617,1.0
ENSG00000187634,SAMD11,0.4874288525242953,1.7178416973488522,9.632391285287673e-16,0.05138104414208114,-2.5180728987299803,2.862520267226057e-16,0.1801477061074715,-0.3831304805917397,1.0,0.5101788023937965,1.2797093968848046,0.0003124880313764961,0.14695779464258932,-0.7376191649632169,0.2671132310019272,0.06807479072554568,-1.830928569920874,0.12686170394787724,0.10827595135110248,-1.1873876254915434,0.2724681202108717,0.09009312109523872,-1.4918722430397455,0.0029710246447363854,0.20215933329118432,-0.20766774840127278,1.0,0.14515249934669802,-0.2426300150413807,1.0
ENSG00000188976,NOC2L,0.7099663256944448,0.4472188490047391,0.11200981573215019,0.4485646710816607,-0.4431651393422045,0.2026421878682359,0.6240831247294548,0.13543863120113153,1.0,0.7632907663721141,0.47063815165477824,0.577577372574711,0.5295145933947265,-0.117963809192418,1.0,0.38773032978462973,-0.586400141337531,1.0,0.5149123019807985,-0.16091332917685364,1.0,0.5207382399304797,-0.14849480574295215,1.0,0.45283690657225284,-0.3303940768342716,1.0,0.6531862470601412,0.2430304658731386,1.0
ENSG00000187961,KLHL17,0.16080127093584998,0.46499355073271564,0.15165993127606656,0.08971293421633214,-0.64018250531901,0.08063475382274875,0.10294154634712656,-0.25390010810447405,1.0,0.1502852286121261,0.2651803546604823,1.0,0.14695779464258932,0.2283763474356495,0.8064840999612147,0.07399433774515835,-0.7895707671922501,1.0,0.1443679351348033,0.2005515371514126,1.0,0.13153595679904853,0.051245680082082856,1.0,0.10512285331141584,-0.20409229417744523,1.0,0.21772874902004705,1.074196349201811,1.0
ENSG00000187583,PLEKHN1,0.060300476600943745,1.2570005084568834,0.0002148112908754122,0.02038930323098458,-0.8965408927530731,0.07569499903898397,0.03216923323347705,0.13223844241863958,1.0,0.05141336768309577,0.6861671202705129,0.6585096645454214,0.025659297477277496,-0.3563194074141931,0.8704161214607499,0.026637961588257004,-0.2662627843848835,1.0,0.016842925765727053,-0.9264092887231188,0.850994105521573,0.014414899375238195,-1.2075331186291205,0.18967949630426928,0.03234549332658949,0.19756299318065107,1.0,0.0,0.9508497143798285,1.0
ENSG00000187642,PERM1,0.032303826750505575,0.5810945977504263,0.2720564795435773,0.013864726197069513,-0.9453470705277205,0.09949659054593403,0.02573538658678164,0.3662188380302984,1.0,0.04548105602735395,1.0687831418569793,0.2353156645453772,0.006997990221075681,-1.5061867565152518,0.14821412727217612,0.017758641058838003,-0.2937207798916299,1.0,0.02406132252246722,0.08500750818906155,1.0,0.03243352359428594,0.5153744345495914,0.6774234264282603,0.008086373331647372,-0.6536181698415797,1.0,0.0,1.4427028107095032,1.0
ENSG00000272512,AL645608.7,0.040200317733962494,0.2996778025429929,0.6490247152077464,0.03180731304033594,-0.14867523023724694,0.94159308326514,0.03216923323347705,0.12401793561367036,1.0,0.04745849324593456,0.5473015996850439,0.8222743919464586,0.04198794132645409,0.35879688735934234,0.7993315458538421,0.005919547019612667,-2.069191640929448,0.7875329291781703,0.045716512792687715,0.49029703091634236,0.993622661098412,0.023424211484762068,-0.5361558660904908,0.6878011412562612,0.03234549332658949,0.18938906173495074,1.0,0.0,0.9428569236262976,1.0
ENSG00000188290,HES4,2.054523381332155,0.7472119099074601,0.0011554048035075867,0.9803176993457385,-0.7013037757348917,0.01300018387471449,1.2610339427523003,-0.2072007758207688,1.0,2.115857823881249,0.6198547000718692,0.2900769184753513,0.9843839577646458,-0.5980678125644233,0.3570109519372092,0.8701734118830621,-0.773926993005519,1.0,1.3835260450418652,-0.07235370174316264,1.0,1.1784180239257225,-0.3297049886230643,0.7373491724280133,1.3989425863749954,-0.05428666597057047,1.0,1.2337962444469333,-0.2502032347461818,1.0
ENSG00000187608,ISG15,9.73350193133567,-0.7305038733651923,0.004048655880538903,16.915781532554046,0.31083917017406426,0.35052145653466776,30.097534613241127,1.1034231621830624,0.7489407004303515,12.45192216540208,-0.23435440460571177,1.0,14.145270900200977,-0.032144556873900054,1.0,14.760390493404186,0.03327720055239558,1.0,26.554075535794823,0.9894103065051567,0.07166761917094142,8.693986185690536,-0.7985798024657949,0.09740135964613822,15.461145810109777,0.09342405303402534,1.0,13.789487437936312,-0.1570542833353068,1.0
ENSG00000188157,AGRN,0.48383953844090577,0.5739279222858793,0.026943573179475183,0.2503806436764906,-0.6897877852560739,0.026334443723000877,0.3152584856880751,-0.21018626609965962,1.0,0.5754342306069565,0.7377365040068691,0.13626673003162598,0.2705889552149263,-0.4693193737916821,0.5683570312716444,0.20422437217663703,-0.877894707190098,1.0,0.38257502810722877,0.06610481649438027,1.0,0.33875013531809756,-0.1287315509215221,1.0,0.34771405326083704,-0.06270533594028205,1.0,0.07257624967334901,-1.4468011527019726,1.0
