Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000238009,AL627309.1,0.016398516568931123,0.43026962041785133,0.5419159250522904,0.012871109486857116,-0.10932148299918154,0.9914907828926703,0.010117565546118338,-0.29570698712581134,0.8902512814932753,0.016184557063779526,0.3795782701605326,1.0,0.006952771863894331,-0.4683437724198001,1.0,0.0,0.2968277127342924,1.0
ENSG00000241860,AL627309.5,0.000528984405449391,0.7878216250359351,1.0,0.0,-0.5739897500026245,1.0,0.0,1.3563697094538814,1.0,0.0016184557063779524,2.8743429619101093,1.0,0.0,2.4910142430828532,1.0,0.0,4.8817902134554485,1.0
ENSG00000286448,AP006222.2,0.001057968810898782,-0.4345707963005143,0.9238527583278042,0.002340201724883112,1.0109727507185298,0.696015501831239,0.0016862609243530563,0.9413322101750374,1.0,0.0016184557063779524,0.8743429619101093,1.0,0.0,0.9060517423616972,1.0,0.0,3.2968277127342924,1.0
ENSG00000229905,AL669831.2,0.000528984405449391,0.20285912431477904,0.8458617019105455,0.000585050431220778,0.42601024999737547,0.7891076414699901,0.0,0.9413322101750374,1.0,0.0,0.8743429619101093,1.0,0.0,2.0759767438040093,1.0,0.017651491764876792,5.8817902134554485,1.0
ENSG00000237491,LINC01409,0.03226804873241285,0.2662845044564115,0.632681874571143,0.03159272328592201,0.20736996352203363,0.7662579523093022,0.02360765294094279,-0.23924003546678207,0.9406523167242725,0.024276835595669285,-0.20247263514071978,1.0,0.013905543727788662,-0.7919197201886448,0.9063339082355091,0.017651491764876792,0.2475841937144434,1.0
ENSG00000228794,LINC01128,0.06559406627572449,0.30239479786569357,0.4708536113889916,0.04329373191033757,-0.5739897500026254,0.10483614832093212,0.07419548067153448,0.4388318696458553,0.44134760218761904,0.067975139667874,0.29498316741833097,1.0,0.03824024525141882,-0.5089857569171459,1.0,0.05295447529463037,0.25729934854765535,1.0
ENSG00000225880,LINC00115,0.017985469785279293,0.0344615926190599,1.0,0.02281696681761034,0.5780133434424242,0.44145357555279074,0.01686260924353056,0.02572439746541111,1.0,0.011329189944645667,-0.5519217927919868,1.0,0.0034763859319471655,-1.4475852122530037,0.9963728700864533,0.017651491764876792,0.9431907581195924,1.0
ENSG00000230368,FAM41C,0.008463750487190256,-0.29464053515603883,0.7759056370646139,0.011115958193194782,0.288506726247439,0.7983010423964001,0.011803826470471394,0.44947911384536354,0.8265403736730035,0.009710734238267715,0.15813592791070175,1.0,0.006952771863894331,0.017083054750441917,1.0,0.017651491764876792,1.7943273722051094,1.0
ENSG00000230699,AL645608.2,0.0,-0.797140875685221,0.7837292511372487,0.001170100862441556,2.5959352514396876,0.26759733544061165,0.0,1.3563697094538814,1.0,0.0,1.2893804611889532,1.0,0.0,2.4910142430828532,1.0,0.0,4.8817902134554485,1.0
ENSG00000241180,AL645608.4,0.0,-0.2121783749640649,1.0,0.000585050431220778,2.0109727507185315,0.5564172914090412,0.0,1.9413322101750374,1.0,0.0,1.8743429619101093,1.0,0.0,3.0759767438040093,1.0,0.0,5.466752714176605,1.0
