Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSG00000238009,AL627309.1,0.01688147063143828,0.4958203791361395,0.4665989821484429,0.013223240554354483,-0.01573043728936785,1.0,0.0,-1.6366558726190759,0.9393153237681133,0.011555807160142408,-0.0360760575827026,1.0,0.011342522274502146,-0.11101251936144774,1.0,0.017967303776913756,0.6105996042347819,1.0,0.012157906717701993,-0.03301772204169673,1.0,0.0,1.4713039637223142,1.0
ENSG00000241860,AL627309.5,0.0005445635687560735,0.8533723837542233,1.0,0.0,0.1191991427967416,1.0,0.0,2.948306628102081,1.0,0.0,1.8600881314327573,1.0,0.0,1.541064177218244,1.0,0.002994550629485626,3.8476388015356324,1.0,0.0,1.4043875902656016,1.0,0.0,6.05626646444347,1.0
ENSG00000286448,AP006222.2,0.001089127137512147,-0.36902003758222435,0.9244989295764624,0.0008264525346471552,-0.2958383564821023,0.9507925810931099,0.0,1.363344127380925,1.0,0.0,0.27512563071159946,1.0,0.0018904203790836912,1.126026677939402,1.0,0.002994550629485626,1.8476388015356324,1.0,0.005210531450443711,2.4043875902656007,0.2777153755409772,0.0,4.471303963722314,1.0
ENSG00000229905,AL669831.2,0.0,-1.1466276162457767,1.0,0.0,-0.2958383564821023,1.0,0.0,2.533269128823237,1.0,0.0,1.4450506321539134,1.0,0.0018904203790836912,2.541064177218244,0.8192554747665247,0.0,1.8476388015356324,1.0,0.0017368438168145703,2.4043875902656016,0.6009479126586045,0.04048150523483896,7.05626646444347,1.0
ENSG00000237491,LINC01409,0.031040123419096188,0.17219456777376418,0.8135472810047375,0.028925838712650434,0.028596594015834143,1.0,0.004706133538869114,-1.6858993916389249,0.809023063525429,0.03004509861637026,0.15437347125099077,1.0,0.028356305686255367,0.04921108088857018,1.0,0.017967303776913756,-0.5149312778490769,1.0,0.03647372015310598,0.43755445420080097,0.7340687468112638,0.04048150523483896,1.4220604447024652,1.0
ENSG00000228794,LINC01128,0.06698131895699704,0.34813707550380135,0.38038312216261516,0.044628436870946385,-0.45111658196001336,0.3992786934106094,0.056473602466429365,0.0688019202886414,1.0,0.08551297298505382,0.6595551440600484,0.27113467351639836,0.05293177061434335,-0.0981413682868979,1.0,0.050907360701255636,-0.12198754942085,1.0,0.045157939237178826,-0.3485195477696257,0.8318560978579297,0.04048150523483896,0.4220604447024652,1.0
ENSG00000225880,LINC00115,0.01742603420019435,-0.032970834450209985,1.0,0.023140670970120347,0.5397748256170152,0.5626720406042321,0.004706133538869114,-0.9902928272337759,1.0,0.023111614320284815,0.5294428194442853,0.757356838290065,0.009452101895418456,-0.7484424399767402,1.0,0.008983651888456878,-0.6442142947940432,1.0,0.020842125801774844,0.34993980624322507,0.8863673167112135,0.04048150523483896,2.117667009107614,1.0
ENSG00000230368,FAM41C,0.008713017100097175,-0.22908977643774886,0.8968389894360748,0.009090977881118708,-0.06842786037903004,1.0,0.004706133538869114,-0.13915621314825888,1.0,0.0069334842960854445,-0.16965921196129496,1.0,0.013232942653585838,0.6341735816097263,0.9749599950453421,0.014972753147428129,0.87801245057915,1.0,0.012157906717701993,0.49749699465708286,0.9120940424709121,0.04048150523483896,2.968803623193131,1.0
ENSG00000230699,AL645608.2,0.0,-0.7315901169669328,0.7911392444765689,0.0,0.1191991427967416,1.0,0.0,2.948306628102081,1.0,0.0,1.8600881314327573,1.0,0.0,1.541064177218244,1.0,0.0,2.2626763008144746,1.0,0.0034736876336291405,4.574312591707913,0.11355154449445981,0.0,6.05626646444347,1.0
ENSG00000241180,AL645608.4,0.0,-0.1466276162457767,1.0,0.0008264525346471552,2.7041616435178977,0.5252345070309538,0.0,3.533269128823237,1.0,0.0,2.4450506321539134,1.0,0.0,2.126026677939402,1.0,0.0,2.8476388015356324,1.0,0.0,1.9893500909867576,1.0,0.0,6.641228965164626,1.0
