Feature
1,ENSG00000205057
2,ENSG00000233360
3,ENSG00000137975
4,ENSG00000214562
5,ENSG00000184647
6,ENSG00000281128
7,ENSG00000228067
8,ENSG00000228421
9,ENSG00000230733
10,ENSG00000276768
11,ENSG00000261616
12,ENSG00000270372
13,ENSG00000288043
14,ENSG00000196091
15,ENSG00000225656
16,ENSG00000285518
17,ENSG00000274253
18,ENSG00000260148
19,ENSG00000283458
20,ENSG00000261949
21,ENSG00000280916
22,ENSG00000120907
23,ENSG00000186051
24,ENSG00000254251
25,ENSG00000264589
26,ENSG00000272203
27,ENSG00000287860
28,ENSG00000230314
29,ENSG00000260596
30,ENSG00000222042
31,ENSG00000261634
32,ENSG00000287224
33,ENSG00000270074
34,ENSG00000184956
35,ENSG00000259757
36,ENSG00000236303
37,ENSG00000285043
38,ENSG00000260777
39,ENSG00000238205
40,ENSG00000276071
41,ENSG00000227963
42,ENSG00000287910
43,ENSG00000236204
44,ENSG00000256463
45,ENSG00000277173
46,ENSG00000237937
47,ENSG00000280634
48,ENSG00000269813
49,ENSG00000261670
50,ENSG00000187105
51,ENSG00000278698
52,ENSG00000286616
53,ENSG00000236449
54,ENSG00000159224
55,ENSG00000260019
56,ENSG00000143839
57,ENSG00000273044
58,ENSG00000225611
59,ENSG00000272910
60,ENSG00000235927
61,ENSG00000270116
62,ENSG00000271732
63,ENSG00000228484
64,ENSG00000278946
65,ENSG00000253347
66,ENSG00000115875
67,ENSG00000237640
68,ENSG00000267125
69,ENSG00000234848
70,ENSG00000287507
71,ENSG00000260891
72,ENSG00000287329
73,ENSG00000258583
74,ENSG00000196993
75,ENSG00000172733
76,ENSG00000157693
77,ENSG00000247735
78,ENSG00000104231
79,ENSG00000248771
80,ENSG00000286319
81,ENSG00000272137
82,ENSG00000229117
83,ENSG00000178107
84,ENSG00000250820
85,ENSG00000136379
86,ENSG00000186207
87,ENSG00000228824
88,ENSG00000117143
89,ENSG00000230641
90,ENSG00000148303
91,ENSG00000237222
