Feature,Normalized.Dispersion
ENSG00000238009,-1.6370049115380232
ENSG00000241860,nan
ENSG00000286448,-0.3827961505843084
ENSG00000229905,69.57747101980041
ENSG00000237491,-0.39427223971341174
ENSG00000228794,-0.22790036841863098
ENSG00000225880,5.758064315369673
ENSG00000230368,-1.3759089344067186
ENSG00000230699,nan
ENSG00000241180,nan
ENSG00000223764,1.2862699737218204
ENSG00000187634,-0.5093764943295107
ENSG00000188976,-0.07561677597817233
ENSG00000187961,-0.7195977655570615
ENSG00000187583,-1.0981905470438587
ENSG00000187642,-1.1226518450800278
ENSG00000272512,-0.7727397713765718
ENSG00000188290,1.9630529173650222
ENSG00000187608,0.39266701061107107
ENSG00000188157,-0.6107967208128572
ENSG00000237330,-0.7760013466880981
ENSG00000131591,4.272451622377168
ENSG00000285812,nan
ENSG00000223823,-0.9629462674436614
ENSG00000272141,-1.8830296249288705
ENSG00000162571,-0.8736440213368838
ENSG00000186891,-0.0589459794831467
ENSG00000186827,2.9776054849777087
ENSG00000078808,-0.8244037405950809
ENSG00000176022,-1.185672867061787
ENSG00000184163,2.4364504768123063
ENSG00000260179,1.512956680082794
ENSG00000160087,-0.9916776115393862
ENSG00000230415,nan
ENSG00000162572,-0.47118469160737086
ENSG00000131584,-0.8862051843251679
ENSG00000169972,-0.4050938209748479
ENSG00000127054,-1.043768489624576
ENSG00000224051,0.39079350317132533
ENSG00000169962,3.372450623682172
ENSG00000107404,0.11247811273041136
ENSG00000162576,3.8856625724596694
ENSG00000175756,0.15572380145145256
ENSG00000221978,1.714560476328518
ENSG00000224870,-0.11717356304999585
ENSG00000242485,-0.38377108027332224
ENSG00000272455,-1.4406849382383384
ENSG00000235098,4.007731550498071
ENSG00000225905,nan
ENSG00000225285,0.011262296389419862
ENSG00000179403,1.6563381193931634
ENSG00000215915,3.7673806817215247
ENSG00000160072,0.09886047408972681
ENSG00000197785,-0.5207868467818435
ENSG00000205090,0.3467623973456521
ENSG00000160075,-0.1926057519876912
ENSG00000215014,-0.5144007086446893
ENSG00000228594,-0.037025387034000504
ENSG00000286989,-0.4688773393588998
ENSG00000272106,-0.26307351751745434
ENSG00000197530,2.1076341045816145
ENSG00000189409,1.3887491998102919
ENSG00000248333,-0.2073457890317298
ENSG00000272004,-1.5435422101426761
ENSG00000189339,-1.3559565528401927
ENSG00000008128,0.8086097367832067
ENSG00000215790,-1.3365012828036018
ENSG00000008130,3.871343687532503
ENSG00000078369,0.42698372773643456
ENSG00000231050,-0.6111675696602012
ENSG00000169885,-0.6944566424230515
ENSG00000178821,-1.3681142399639112
ENSG00000142609,-0.27310833073925384
ENSG00000233542,-1.1068310542187703
ENSG00000187730,1.1884434920601947
ENSG00000226969,nan
ENSG00000067606,1.1128834477089677
ENSG00000271806,nan
ENSG00000182873,2.157143043930733
ENSG00000162585,0.8365119676167266
ENSG00000234396,-1.1446686907936015
ENSG00000157933,0.24547540631999865
ENSG00000287356,-1.488008880486655
ENSG00000116151,-0.574182596831534
ENSG00000272161,-0.43982037684980757
ENSG00000272420,-0.5239877874360063
ENSG00000157916,-1.1606500499745407
ENSG00000157911,0.3645437479172156
ENSG00000149527,1.1210198528238153
ENSG00000224387,-1.5731524778211308
ENSG00000157881,-1.470606506704994
ENSG00000197921,1.6294109922223126
ENSG00000272449,9.726760439948544
ENSG00000238164,-0.8326947382675235
ENSG00000157873,3.315097287739209
ENSG00000228037,2.3692876584018645
ENSG00000157870,-1.6727886483250605
ENSG00000142606,2.3751239347945097
ENSG00000215912,0.688669571954458
ENSG00000177133,12.99321598690434
ENSG00000142611,0.9691174857434056
ENSG00000226286,nan
ENSG00000272235,nan
ENSG00000287828,nan
ENSG00000286518,nan
ENSG00000130762,-1.5729740959030611
ENSG00000272088,2.107908824720792
ENSG00000162591,8.427648379822822
ENSG00000238260,0.6516908314796929
ENSG00000158109,-0.629134984216863
ENSG00000116213,-1.1030482072146621
ENSG00000078900,-1.8797758557224047
ENSG00000227589,nan
ENSG00000235169,2.521579634567207
ENSG00000130764,2.719444058492586
ENSG00000272153,-1.7112434661582474
ENSG00000116198,-1.4183460048303507
ENSG00000169598,-1.412759929046837
ENSG00000198912,-1.2336043308776274
ENSG00000236423,-1.5322994744532925
ENSG00000196581,0.18191101730985032
ENSG00000287586,-0.04077139582591726
ENSG00000284692,nan
ENSG00000236948,0.3829446284366457
ENSG00000131697,1.7244165417518456
ENSG00000069424,0.3230635270549614
ENSG00000116254,-1.0004925462364151
ENSG00000116251,-1.560105591176924
ENSG00000226944,-1.3686195158915562
ENSG00000158286,-0.893659510935464
ENSG00000116237,-0.48968555127309765
ENSG00000225077,-0.4766196100984939
ENSG00000158292,-0.5764064499328775
ENSG00000097021,-1.8453367138135066
ENSG00000271746,-1.494284971207586
ENSG00000069812,-1.1506697574958695
ENSG00000187017,-1.1648475508210876
ENSG00000215788,0.48751076236536484
ENSG00000171680,0.6470464459973839
ENSG00000162408,0.8517063675276884
ENSG00000173662,nan
ENSG00000204859,1.9045956097755947
ENSG00000162413,-1.2991449017342112
ENSG00000116273,-0.7766707390800455
ENSG00000041988,1.020735648359564
ENSG00000007923,0.7497585322767106
ENSG00000237436,3.3420450065760927
ENSG00000171735,-0.9542417986070882
ENSG00000237402,-1.0300072031965284
ENSG00000237728,nan
ENSG00000270171,0.8650032305474968
ENSG00000270035,-0.09759346460275246
ENSG00000269978,-1.0769476789917103
ENSG00000049245,-0.8345092318020436
ENSG00000269925,-0.6289799270413706
ENSG00000049246,0.981768082409315
ENSG00000049247,38.47623639866983
ENSG00000049249,0.3529874435529424
