collection,pathway,full_name,n_genes_total,n_genes_present,coverage,mean_expression,variance,correlation_with_target,pvalue,qvalue,significant_fdr05,abs_correlation
GO,Resolution Of Meiotic Recombination Intermediates (GO:0000712),GO_Resolution Of Meiotic Recombination Intermediates (GO:0000712),14,3,0.21428571428571427,0.15374444,0.034802813,0.48546189110331883,0.0,0.0,True,0.48546189110331883
GO,Apoptotic Nuclear Changes (GO:0030262),GO_Apoptotic Nuclear Changes (GO:0030262),16,4,0.25,0.12520708,0.021214766,0.4504412343919214,0.0,0.0,True,0.4504412343919214
KEGG,Leishmaniasis,KEGG_Leishmaniasis,77,29,0.37662337662337664,0.237678,0.016683204,-0.34464519083789447,0.0,0.0,True,0.34464519083789447
KEGG,Pertussis,KEGG_Pertussis,76,31,0.40789473684210525,0.35011527,0.032453593,-0.33986936105711907,0.0,0.0,True,0.33986936105711907
KEGG,Chagas disease,KEGG_Chagas disease,102,41,0.4019607843137255,0.24587302,0.020037942,-0.33594381039846277,0.0,0.0,True,0.33594381039846277
GO,Neuron Maturation (GO:0042551),GO_Neuron Maturation (GO:0042551),17,6,0.35294117647058826,0.39325246,0.066787854,-0.3343607734006095,0.0,0.0,True,0.3343607734006095
GO,Neuron Remodeling (GO:0016322),GO_Neuron Remodeling (GO:0016322),9,3,0.3333333333333333,0.77589583,0.25996113,-0.3308835718917827,0.0,0.0,True,0.3308835718917827
GO,Positive Regulation Of Endocytosis (GO:0045807),GO_Positive Regulation Of Endocytosis (GO:0045807),79,41,0.5189873417721519,0.17278384,0.010905738,-0.3288256704709711,0.0,0.0,True,0.3288256704709711
Reactome,Creation Of C4 And C2 Activators R-HSA-166786,Reactome_Creation Of C4 And C2 Activators R-HSA-166786,14,9,0.6428571428571429,0.5322461,0.11242582,-0.32216119641557517,0.0,0.0,True,0.32216119641557517
Reactome,Classical Antibody-Mediated Complement Activation R-HSA-173623,Reactome_Classical Antibody-Mediated Complement Activation R-HSA-173623,6,5,0.8333333333333334,0.9464428,0.35480213,-0.3214275366827882,0.0,0.0,True,0.3214275366827882
GO,Nuclear Chromosome Segregation (GO:0098813),GO_Nuclear Chromosome Segregation (GO:0098813),16,4,0.25,0.21995711,0.034498297,0.3195483127321873,0.0,0.0,True,0.3195483127321873
KEGG,Osteoclast differentiation,KEGG_Osteoclast differentiation,127,51,0.4015748031496063,0.20256366,0.014504682,-0.31542748840419127,0.0,0.0,True,0.31542748840419127
KEGG,Complement and coagulation cascades,KEGG_Complement and coagulation cascades,85,49,0.5764705882352941,0.24890053,0.014297362,-0.31507762350401863,0.0,0.0,True,0.31507762350401863
GO,Endocytosis (GO:0006897),GO_Endocytosis (GO:0006897),189,49,0.25925925925925924,0.17624483,0.013761976,-0.31222180929823157,0.0,0.0,True,0.31222180929823157
GO,Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),GO_Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),43,19,0.4418604651162791,0.19596826,0.02354839,-0.3096406978383316,0.0,0.0,True,0.3096406978383316
GO,Synapse Pruning (GO:0098883),GO_Synapse Pruning (GO:0098883),8,8,1.0,0.45855263,0.08191517,-0.3093607216661441,0.0,0.0,True,0.3093607216661441
KEGG,Phagosome,KEGG_Phagosome,152,48,0.3157894736842105,0.23635842,0.015468696,-0.3091541942665393,0.0,0.0,True,0.3091541942665393
KEGG,Th1 and Th2 cell differentiation,KEGG_Th1 and Th2 cell differentiation,92,34,0.3695652173913043,0.18205789,0.020706285,-0.30666385998453977,0.0,0.0,True,0.30666385998453977
GO,Regulation Of Cellular Biosynthetic Process (GO:0031326),GO_Regulation Of Cellular Biosynthetic Process (GO:0031326),70,17,0.24285714285714285,0.15841345,0.011412591,-0.3065760601672569,0.0,0.0,True,0.3065760601672569
Reactome,Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424,Reactome_Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424,25,13,0.52,0.22011666,0.026767982,-0.301514942608027,0.0,0.0,True,0.301514942608027
