Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000238009,AL627309.1,0.015570490275139421,0.325534870493029,0.63882184945339,0.015736160257101384,0.330434773562982,0.7011805307904335,0.0033679850679816372,-1.12206335517409,1.0,0.007813422077381857,-0.7243715317260726,0.4584219410963246
ENSG00000241860,AL627309.5,0.0,-1.1407831337295082,0.7204085005957571,0.0010490773504734257,2.353518386676022,0.33336800789150045,0.0,2.442721263609437,1.0,0.0,0.9277051648536201,1.0
ENSG00000286448,AP006222.2,0.0022897779816381503,1.029141867712804,0.5335580713206658,0.0010490773504734257,-0.45383653538158164,0.921413006532347,0.0,0.857758762888281,1.0,0.0013022370128969762,0.5126676655747762,1.0
ENSG00000229905,AL669831.2,0.00045795559632763003,-0.14078313372950824,0.8657630054580902,0.0005245386752367129,0.18359338523370994,0.848396347591719,0.0033679850679816372,3.442721263609436,1.0,0.0,0.5126676655747762,1.0
ENSG00000237491,LINC01409,0.02976711376129595,0.07918255021239862,0.9488914300972949,0.0325213978646762,0.28640419081748636,0.6075203595548614,0.016839925339908187,-0.5672628249631861,1.0,0.022138029219248595,-0.3726897684841015,0.6552345063595516
ENSG00000228794,LINC01128,0.047627382018073525,-0.44890542909184106,0.19027040028867784,0.0655673344045891,0.30289231360605484,0.47017120702375226,0.047151790951742927,-0.22024374911299294,1.0,0.07162303570933369,0.38928525006949455,0.4311092158078933
ENSG00000225880,LINC00115,0.01923413504576046,0.19801877972224968,0.8654127656392588,0.01783431495804824,0.015195853537992576,1.0,0.0067359701359632745,-0.895148375146948,1.0,0.018231318180557666,0.11577751300619177,0.9920167827675619
ENSG00000230368,FAM41C,0.011906845504518381,0.49862715101402433,0.5283523631053815,0.008392618803787406,-0.31390627423710615,0.7680476682613158,0.0067359701359632745,-0.031209924722976012,1.0,0.009115659090278833,0.02081456924510139,1.0
ENSG00000230699,AL645608.2,0.0009159111926552601,2.029141867712804,0.37090658356895156,0.0,-0.8164066147662901,0.7757328621035824,0.0,2.442721263609437,1.0,0.0,0.9277051648536201,1.0
ENSG00000241180,AL645608.4,0.00045795559632763003,1.4441793669916478,0.63882184945339,0.0,-0.231444114045134,1.0,0.0,3.027683764330593,1.0,0.0,1.5126676655747762,1.0
ENSG00000223764,LINC02593,0.040300092476831445,-1.156902799092785,6.793318371390451e-05,0.1143494312016034,1.4140599286110742,9.621258376896956e-08,0.020207910407889825,-1.6243929322491004,0.6984320643662802,0.05860066558036393,-0.2537892253008289,0.7610741282527681
ENSG00000187634,SAMD11,0.06457173908219584,-2.504105596464197,2.539385187466039e-27,0.4909682000215632,2.4068414468543518,8.403771487614305e-32,0.1515593280591737,-0.6679228000745563,1.0,0.14845501947025527,-0.7749844958814494,0.047622435658531366
ENSG00000188976,NOC2L,0.46299310788723397,-0.4931799137291235,0.032257570210083956,0.7212406784504802,0.5746008151494786,0.010564776946109878,0.5523495511489885,-0.04945563365098582,1.0,0.5182903311329965,-0.16393458180535025,0.8540900351581248
