Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000238009,AL627309.1,0.016418916264510544,0.4330995769914816,0.5413029786894392,0.014553476784505836,0.1557485828437315,1.0,0.010053857426327651,-0.3059934058403311,0.891395002187638,0.006845678042912869,-0.4919958074673323,1.0,0.014276916814590071,0.22500548795835762,1.0,0.011765705734846725,-0.08630215956841347,1.0,0.0,0.31852488365642717,1.0
ENSG00000241860,AL627309.5,0.0005296424601455014,0.7906515816095645,1.0,0.0,0.07774607084245844,1.0,0.0,1.3460832907393616,1.0,0.0,2.467362208035322,1.0,0.002039559544941439,3.247373300986812,1.0,0.0,1.3511031527388848,1.0,0.0,4.903487384377584,1.0
ENSG00000286448,AP006222.2,0.0010592849202910029,-0.43174083972688315,0.9233207196979761,0.0008085264880281019,-0.3372914284363855,0.9517250269593618,0.001675642904387942,0.9310457914605177,1.0,0.0,0.8823997073141658,1.0,0.002039559544941439,1.247373300986812,1.0,0.005042445314934311,2.351103152738885,0.29254505064001807,0.0,3.318524883656428,1.0
ENSG00000229905,AL669831.2,0.0005296424601455014,0.20568908088840843,0.8447794343968595,0.0,-0.3372914284363855,1.0,0.0,0.9310457914605177,1.0,0.0,2.052324708756478,1.0,0.0,1.247373300986812,1.0,0.0016808151049781037,2.351103152738885,0.6125014991813091,0.017920714136909422,5.903487384377584,1.0
ENSG00000237491,LINC01409,0.03283783252902109,0.30849988647218485,0.5770707618972671,0.028298427080983568,-0.012856477938449018,1.0,0.023459000661431185,-0.2495264541813027,0.8838976448533437,0.013691356085825737,-0.8155717552361779,0.9014507363058605,0.022435154994355826,-0.2866052710155387,1.0,0.03697793230951828,0.45962760951705306,0.6901514934905831,0.017920714136909422,0.26928136463657815,1.0
ENSG00000228794,LINC01128,0.06620530751818768,0.3249880092607529,0.4014896517275272,0.04527748332957371,-0.42921391787742547,0.42888724373595255,0.07372828779306943,0.4285454509313351,0.4448376092324502,0.037651229236020774,-0.5326377919646781,0.9895884101901783,0.06730546498306748,0.27955370673596214,1.0,0.043701192729430696,-0.4018039852963433,0.7347906455631771,0.05376214241072827,0.27899651946979054,1.0
ENSG00000225880,LINC00115,0.01800784364494705,0.03729154919269018,1.0,0.022638741664786854,0.498321753662732,0.6210403429316868,0.018432071948267358,0.15845628756359087,0.9983609908391983,0.0034228390214564343,-1.471237247300535,0.9233025456587877,0.010197797724707195,-0.6270958169293284,1.0,0.020169781259737243,0.29665536871650744,0.9513009383926293,0.017920714136909422,0.9648879290417272,1.0
ENSG00000230368,FAM41C,0.008474279362328023,-0.29181057858240855,0.7757021740431166,0.009702317856337224,0.04122019481734451,1.0,0.011729500330715592,0.4391926951308438,0.8309074184163173,0.006845678042912869,-0.006568980297091187,1.0,0.012237357269648632,0.5311662669874035,1.0,0.011765705734846725,0.4442125571303661,0.920334886300655,0.017920714136909422,1.8160245431272442,1.0
ENSG00000230699,AL645608.2,0.0,-0.7943109191115916,0.7847402650162386,0.0,0.07774607084245844,1.0,0.0,1.3460832907393616,1.0,0.0,2.467362208035322,1.0,0.0,1.662410800265656,1.0,0.0033616302099562074,4.521028154181197,0.11798308291335005,0.0,4.903487384377584,1.0
ENSG00000241180,AL645608.4,0.0,-0.2093484183904355,1.0,0.0008085264880281019,2.6627085715636145,0.5383889371268709,0.0,1.9310457914605177,1.0,0.0,3.052324708756478,1.0,0.0,2.247373300986812,1.0,0.0,1.936065653460041,1.0,0.0,5.48844988509874,1.0
