Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000238009,AL627309.1,0.007901940499294442,-0.7984534785413269,0.31631080306385445,0.014972793542631105,0.22291775465121244,0.7908777315502932,0.01547611769396055,0.292114422763027,0.7722941753497561
ENSG00000241860,AL627309.5,0.0,0.446659019295204,1.0,0.0,-1.164105368458035,0.7205641042308207,0.00103174117959737,2.315198035876067,0.3413549038274119
ENSG00000286448,AP006222.2,0.0009877425624118053,0.031621520016360094,1.0,0.002268605082216834,1.0058196329842772,0.5388999056619228,0.00103174117959737,-0.49215688618153663,0.9185507593022665
ENSG00000229905,AL669831.2,0.0009877425624118053,1.446659019295204,0.5996976194684273,0.00045372101644336677,-0.16410536845803492,0.8709568555904944,0.000515870589798685,0.14527303443375494,0.8538543967863368
ENSG00000237491,LINC01409,0.021730336373059714,-0.44481652392662685,0.49119130318000165,0.02949186606881884,0.055860315483872824,1.0,0.031983976567518474,0.24808384001753137,0.6694066143810495
ENSG00000228794,LINC01128,0.06124003886953192,0.12015819461801769,0.8911118338811209,0.048548148759440246,-0.40921786629456625,0.24668968645375602,0.06654730608403037,0.34321241204566455,0.36460365751196777
ENSG00000225880,LINC00115,0.012840653311353468,-0.4829516528133979,0.7216796553764117,0.020417445739951506,0.35945658759897814,0.6727928140988004,0.01753960005315529,-0.023124497261962418,1.0
ENSG00000230368,FAM41C,0.008889683061706247,-0.07271513979837607,1.0,0.011796746427527536,0.47530491628549765,0.5312204874523833,0.00825392943677896,-0.35222662503706115,0.6851170138350476
ENSG00000230699,AL645608.2,0.0,0.446659019295204,1.0,0.0009074420328867335,2.0058196329842772,0.3769352565881778,0.0,-0.8547269655662451,0.7728447473118358
ENSG00000241180,AL645608.4,0.0,1.03162152001636,1.0,0.00045372101644336677,1.4208571322631212,0.6442262389369314,0.0,-0.269764464845089,1.0
ENSG00000223764,LINC02593,0.04543615787094304,-0.699191847168251,0.1114306921946392,0.04038117046345965,-1.1587521339638278,6.022722561045611e-05,0.11452327093530808,1.4436725938248776,4.5016069930903665e-08
ENSG00000187634,SAMD11,0.14124718642488815,-0.8938505013338842,0.005506711661047748,0.06488210535140145,-2.5046148890871223,1.6115583560356513e-27,0.49007706030875076,2.4586301393397876,4.902129312604478e-33
ENSG00000188976,NOC2L,0.5254790432030804,-0.1493885149900469,0.8044668852954628,0.46370287880512084,-0.4926932942872707,0.03224452806279043,0.7191236021793669,0.573586076853497,0.010535901763412145
ENSG00000187961,KLHL17,0.1333452459255937,0.07196044915267352,0.9457431277186372,0.10208722869975753,-0.5370410348570491,0.0458887759448868,0.15630878870900156,0.48230802171132625,0.07738395807077465
ENSG00000187583,PLEKHN1,0.02469356406029513,-0.5440631671167857,0.3505890310406175,0.019056282690621405,-1.2614025698129492,0.0002473829960546235,0.05777750605745272,1.4629516563197607,2.9997470072944217e-06
ENSG00000187642,PERM1,0.009877425624118051,-1.3915899107081842,0.014587926067090431,0.021778608789281607,-0.28636111850903223,0.6197121573374811,0.03559507069610927,0.9768755027380376,0.009798695918106013
ENSG00000272512,AL645608.7,0.03457098968441318,0.011721962578655543,1.0,0.02949186606881884,-0.3927297435059973,0.3704127615682383,0.0412696471838948,0.41187405528774157,0.3529906794960212
ENSG00000188290,HES4,1.1477568575225177,-0.4067949179667979,0.21122907136951108,1.049002990017064,-0.7350701389603077,0.0004562945898638451,2.058839523886552,0.9303342779939403,3.006818036899077e-06
ENSG00000187608,ISG15,20.555910466352078,0.670064643611612,0.007508202374410756,15.035860763916732,0.10850324518381216,0.7390083486505242,10.492291925915454,-0.6770944864504629,0.0018565139831508632
ENSG00000188157,AGRN,0.2933595410363061,-0.3939675520377355,0.2833287214096399,0.27813098307978384,-0.6446006664479398,0.004513229797435828,0.5091642721313021,0.8472955229375387,7.377959442547644e-05
ENSG00000237330,RNF223,0.01679162356100069,-0.8964855615018541,0.10455135546563632,0.019056282690621405,-0.9602330350923847,0.009739310729997798,0.048491835441076395,1.393200547877341,2.6511497276054157e-05
ENSG00000131591,C1orf159,0.15507558229865342,-0.10961257767496013,0.9457352208450897,0.12613444257125597,-0.6249465573500035,0.020959773231941512,0.21563390653585035,0.6728576440773373,0.010212015809035914
ENSG00000285812,AL390719.3,0.0,1.03162152001636,1.0,0.00045372101644336677,1.4208571322631212,0.6442262389369314,0.0,-0.269764464845089,1.0
ENSG00000223823,LINC01342,0.005926455374470831,-1.7001823690340672,0.007931603450128282,0.023139771838611708,0.5363343496830568,0.26730196298811204,0.021150694181746085,0.26457196280609985,0.732768504893284
ENSG00000272141,AL390719.2,0.042472930183707625,-1.4367248234286851,7.666318422660605e-05,0.09392025040377693,-0.21409350428971097,0.5775566559258478,0.14392789455383312,0.8879749981491063,0.00036044227643971193
ENSG00000162571,TTLL10,0.0,-0.553340980704796,0.8129540977057192,0.001814884065773467,1.7427852271504847,0.36934489025769124,0.000515870589798685,-0.5916925597324507,0.8698546305018288
ENSG00000186891,TNFRSF18,0.4889325683938436,0.65042747570931,0.014716762843635846,0.33212378403654447,-0.10450076319761381,0.7889841307436086,0.2883716596974649,-0.402576293270301,0.13812835937570256
ENSG00000186827,TNFRSF4,0.6124003886953192,1.7865090221798288,4.560884002808824e-15,0.16969166014981918,-0.9679752966683284,2.0876736664909525e-05,0.1862292829173253,-0.7284712931928938,0.0031171935671789287
ENSG00000078808,SDF4,1.4134596068112932,0.42863761165716346,0.1322280593119251,0.9732315802710217,-0.33984499117446376,0.1647992819636086,1.1369787799163018,0.03226407260456918,1.0
ENSG00000176022,B3GALT6,0.268665976976011,-0.09357903692790126,0.9536121527430712,0.27404749393179356,-0.08486585671338531,0.8552147517527741,0.30230016562202944,0.15101919582023116,0.6814127073909034
